anchor,representative,loss,rho,dataset,n_seeds,ndcg_at_5_mean,ndcg_at_5_std,recall_at_1_mean,recall_at_1_std,recall_at_5_mean,recall_at_5_std,recall_at_10_mean,recall_at_10_std,flip_rate_mean,flip_rate_std,reversal_rate_mean,reversal_rate_std,margin_abs_err_mean,margin_abs_err_std,score_abs_err_mean,score_abs_err_std,pos_score_abs_err_mean,pos_score_abs_err_std,ms_per_doc_mean,ms_per_doc_std,peak_mem_mb_mean,peak_mem_mb_std
coverage,uniform_centroid,none,0.1,arxivqa,3,0.9302,0.0,0.9,0.0,0.96,0.0,0.9867,0.0,0.0024,0.0,0.0017,0.0,0.5158,0.0,1.4971,0.0,1.5377,0.0,1269.023,3.3325,420.6,0.0
coverage,uniform_centroid,none,0.1,docvqa,3,0.7126,0.0,0.62,0.0,0.78,0.0,0.8,0.0,0.0614,0.0,0.0334,0.0,0.5217,0.0,0.6059,0.0,0.9667,0.0,1707.6997,4.9578,2850.7,0.0
coverage,uniform_centroid,none,0.1,flickr,3,0.8935,0.0,0.8167,0.0,0.9567,0.0,0.9833,0.0,0.0018,0.0,0.0014,0.0,0.6789,0.0,1.4507,0.0,1.8181,0.0,98.9237,0.1374,37.8,0.0
coverage,uniform_centroid,none,0.1,infovqa,3,0.9238,0.0,0.88,0.0,0.9533,0.0,0.9733,0.0,0.0037,0.0,0.0023,0.0,0.789,0.0,1.3522,0.0,1.8001,0.0,1266.779,2.3038,2869.7,0.0
coverage,uniform_centroid,none,0.1,tabfquad,3,0.9311,0.0,0.881,0.0,0.9762,0.0,1.0,0.0,0.0071,0.0,0.0054,0.0,0.7673,0.0,1.7462,0.0,2.1557,0.0,515.4553,2.2146,97.7,0.0
coverage,uniform_centroid,none,0.1,tatdqa,3,0.8899,0.0,0.8112,0.0,0.9518,0.0,0.9598,0.0,0.0097,0.0,0.0046,0.0,0.773,0.0,1.4707,0.0,1.9855,0.0,1856.7657,10.3627,1146.1,0.0
kcenter,anchor,none,0.05,arxivqa,3,0.8826,0.0174,0.8267,0.0288,0.9289,0.0083,0.9556,0.0083,0.0081,0.0008,0.006,0.0011,1.9251,0.0255,2.0168,0.0255,3.7852,0.0225,34.0817,0.5132,412.3667,0.0471
kcenter,anchor,none,0.05,docvqa,3,0.6148,0.0119,0.54,0.0094,0.6822,0.0083,0.7133,0.0144,0.1457,0.0164,0.1052,0.0161,1.6916,0.012,1.4013,0.0112,2.5132,0.0216,50.5097,0.2785,2844.9,0.0
kcenter,anchor,none,0.05,flickr,3,0.6226,0.0223,0.4789,0.022,0.7489,0.0201,0.84,0.0152,0.0224,0.0022,0.0217,0.0022,2.2364,0.0522,3.5613,0.0116,5.6012,0.0594,7.8033,0.138,36.2,0.0
kcenter,anchor,none,0.05,infovqa,3,0.7908,0.0106,0.72,0.0144,0.8511,0.0113,0.8844,0.0031,0.0406,0.0038,0.0395,0.0038,3.1942,0.0464,2.0487,0.006,5.1365,0.0444,39.9113,0.1869,2858.1,0.0
kcenter,anchor,none,0.05,tabfquad,3,0.8291,0.0164,0.7421,0.0148,0.9048,0.0292,0.9603,0.0148,0.055,0.0068,0.0524,0.0076,3.1317,0.0584,3.3322,0.0462,6.1993,0.0846,17.2303,1.7013,97.3333,0.4714
kcenter,anchor,none,0.05,tatdqa,3,0.8632,0.0058,0.7604,0.0107,0.9411,0.0034,0.9565,0.0038,0.0158,0.0006,0.0084,0.0007,1.7937,0.0225,1.8346,0.0081,3.509,0.0351,56.3557,0.4688,1142.3,0.0
kcenter,anchor,none,0.1,arxivqa,3,0.9035,0.0131,0.8533,0.0196,0.9422,0.0083,0.9733,0.0094,0.0054,0.0004,0.0036,0.0012,1.3799,0.0582,1.4371,0.0174,2.7266,0.0647,63.104,0.6429,420.6,0.0
kcenter,anchor,none,0.1,docvqa,3,0.6585,0.0054,0.5756,0.0063,0.7289,0.0083,0.7578,0.0031,0.1105,0.0099,0.0718,0.0085,1.1065,0.0144,1.0125,0.0294,1.7788,0.0357,95.607,0.33,2850.7,0.0
kcenter,anchor,none,0.1,flickr,3,0.7523,0.0087,0.6056,0.0193,0.8722,0.0031,0.9256,0.0057,0.0107,0.0005,0.01,0.0005,1.7413,0.0137,2.406,0.0135,3.9783,0.0187,10.1103,0.3819,37.8,0.0
kcenter,anchor,none,0.1,infovqa,3,0.8577,0.0035,0.8022,0.0031,0.9022,0.0063,0.9333,0.0094,0.0213,0.0035,0.0204,0.0034,2.2513,0.0283,1.3767,0.0325,3.5557,0.0104,74.979,0.2406,2869.7,0.0
